word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
bilen,58,58,7.724137931034483,1,27,1,5,Swedish,387670,bil,car,4,"bil, bilen, bilar, bilarna",480,5,480,7.8202719344960725,9,279,4
idag,21,21,6.142857142857143,2,13,NA,4,Swedish,387670,idag,today,1,idag,21,4,21,6.142857142857143,2,13,0
smörgås,9,9,5.111111111111111,NA,6,1,7,Swedish,387670,smörgås,sandwich,2,"smörgås, smörgåsar",10,8,10,5.055555555555555,0,7,1
stanna,44,44,8.295454545454545,1,7,5,6,Swedish,387670,stann,stop,5,"slut, slutat, stanna, sluta, stannar",251,5.6,251,7.1495670995671,5,140,12
dörrarna,1,1,2,NA,NA,1,8,Swedish,387670,dörr,door,3,"dörrarna, dörr, dörren",32,6,32,4.799719887955182,0,17,1
stängdes,1,1,2,NA,1,NA,8,Swedish,387670,stäng,close,7,"stängdes, stänga, stäng, stängde, stängd, stänger, stängt",90,6.428571428571429,90,5.329081632653061,4,17,9
stora,35,35,8.114285714285714,NA,2,4,5,Swedish,387670,stor,big,2,"stor, stora",329,4.5,329,7.938095238095238,2,70,15
leker,20,20,8.15,NA,5,2,5,Swedish,387670,lek,play,4,"leka, leker, lek, leks",191,4,191,8.035240963855422,1,24,4
jagade,1,1,4,NA,NA,1,6,Swedish,387670,jag,i,4,"jag, jagade, jagar, jaga",358,4.5,358,6.135741265344665,0,29,104
kör,360,360,6.713888888888889,NA,44,58,3,Swedish,387670,kör,drive,2,"köra, kör",742,3.5,742,7.188096276905178,3,104,64
borsta,68,68,7.117647058823529,NA,1,6,6,Swedish,387670,borst,broom,6,"borsten, borsta, borstar, borstat, borste, borstas",88,6.666666666666667,88,6.286274509803921,1,7,6
socker,46,46,5.521739130434782,6,16,3,6,Swedish,387670,sock,sock,3,"sockar, socker, socka",51,5.666666666666667,51,6.673913043478261,6,19,3
dans,20,20,3.05,NA,19,NA,4,Swedish,387670,dan,dance,4,"dans, dansa, dan, dansar",45,4.5,45,5.417261904761904,0,29,1
blomma,61,61,5.262295081967213,4,31,NA,6,Swedish,387670,blomm,flower,5,"blomma, blommor, blommer, blommerna, blommorna",70,7.6,70,5.8191256830601095,4,36,0
kalle,74,74,6.675675675675675,2,7,14,5,Swedish,387670,kall,cold,6,"kallades, kalle, kall, kallas, kallade, kalla",98,5.833333333333333,98,8.484834834834835,2,13,14
