language,uni_lemma,item_definition,phons,fixed_phon
Hebrew,bathroom,שירותים/ בית שימוש,,"S_e_Q""_u_t_i_m, S_e_Q""_u_t_i_m, b_e_i_t_ S_i_m_u_S, b_e_j_t_ S_i_m_u_S"
Hebrew,bathtub,אמבטיה,,"a_m_b_a_t_j_a, ʔ_a_m_b_a_t_j_a"
Hebrew,beach,ים/ חוף ים,,"j_a_m, X_o_f_ j_a_m"
Hebrew,beads,חרוזים,,"X_a_Q""_u_z, X_a_Q""_u_z_i_m"
Hebrew,beans,שעועית,,"S_e_u_i_t, S_e_ʔ_u_ʔ_i_t"
Hebrew,bear,דב/ דובי,,"d_o_v, d_u_b_i"
Hebrew,bedroom,חדר שינה,,"b_e_i_t_ S_e_n_a, b_e_j_t_ S_e_n_a"
Hebrew,bedroom,מיטה,,"m_i_t_a, m_i_t_a"
Hebrew,bee,דבורה,,"d_v_o_Q""_a"
Hebrew,beetle,חיפושית,,"X_i_p_u_S_i_t, X_i_p_u_S_i_t"
Hebrew,before,לפני,,"l_i_f_n_e_i, l_i_f_n_e_j"
Hebrew,behind,מאחורי,,"m_e_a_X_o_Q""_e_i, m_e_a_X_o_Q""_e_j, m_e_ʔ_a_X_o_Q""_e_j"
Hebrew,belly button,פופיק,,p_u_p_i_k
Hebrew,belly button,פופיק/ טבור,,"p_u_p_i_k, t_a_b_u_Q"", t_a_b_u_Q"""
Hebrew,belt,חגורה,,"X_a_g_o_Q""_a"
Hebrew,bench,ספסל,,s_a_f_s_a_l
Hebrew,between,בין,,b_e_n
Hebrew,bib,סינור,,"s_i_n_u_Q"""
Hebrew,bicycle,אופניים,,"o_f_a_n_a_j_i_m, ʔ_o_f_a_n_a_j_i_m"
Hebrew,big,גדול,,g_a_d_o_l
Hebrew,bird,ציפור,,"ts_i_p_o_Q"""
Hebrew,bite,לנשוך,,"l_i_n_S_a_X, l_i_n_S_a_X"
Hebrew,blanket,שמיכה,,"s_m_i_X_a, s_m_i_X_a"
