word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
danse,169,169,8.603550295857989,2,79,3,5,French (Quebecois),2043005,dans,dance,11,"dans, danse, dansé, danser, danses, dansais, dansait, dan, dansant, dansaient, danserait",12216,6.181818181818182,12216,8.197153558777751,7,239,1442
danse,169,169,8.603550295857989,2,79,3,5,French (Quebecois),2043005,dans,in,11,"dans, danse, dansé, danser, danses, dansais, dansait, dan, dansant, dansaient, danserait",12216,6.181818181818182,12216,8.197153558777751,7,239,1442
parlé,97,97,9.783505154639176,NA,22,NA,5,French (Quebecois),2043005,parl,talk,13,"parles, parler, parlé, parle, parlant, parlais, parlait, parlera, parleras, parlez, parlerait, parlaient, parla",1163,6.6923076923076925,1163,10.411674514830922,6,304,34
aime,497,497,7.885311871227364,NA,9,1,4,French (Quebecois),2043005,aim,love,19,"aimes, aimé, aime, aimerais, aimerait, aimants, aimée, aimait, aimeras, aimer, aimant, aimais, aimaient, aimera, aimez, aimeraient, aimiez, aimés, aimante",1464,6.2105263157894735,1464,11.234675425629144,0,65,7
finit,109,109,7.669724770642202,NA,13,NA,5,French (Quebecois),2043005,fin,finish,20,"fini, finit, finir, finis, finie, fin, finisses, finiras, finisse, finissais, fines, finissons, fine, fins, finira, finirai, finissent, finies, finissez, finirent",2286,6.2,2286,8.978593108491275,68,924,57
finit,109,109,7.669724770642202,NA,13,NA,5,French (Quebecois),2043005,fin,finished,20,"fini, finit, finir, finis, finie, fin, finisses, finiras, finisse, finissais, fines, finissons, fine, fins, finira, finirai, finissent, finies, finissez, finirent",2286,6.2,2286,8.978593108491275,68,924,57
aimerais,65,65,9.092307692307692,NA,NA,3,8,French (Quebecois),2043005,aim,love,19,"aimes, aimé, aime, aimerais, aimerait, aimants, aimée, aimait, aimeras, aimer, aimant, aimais, aimaient, aimera, aimez, aimeraient, aimiez, aimés, aimante",1464,6.2105263157894735,1464,11.234675425629144,0,65,7
bébés,326,326,8.420245398773005,NA,148,1,5,French (Quebecois),2043005,beb,baby,6,"bébé, bébés, bebi, bebe, bebes, béb",2312,4.166666666666667,2312,5.386440743606512,22,1117,54
grenouilles,47,47,7.319148936170213,NA,27,NA,11,French (Quebecois),2043005,grenouill,frog,3,"grenouille, grenouilles, grenouiller",292,10.666666666666666,292,8.191082432275318,7,175,2
langues,3,3,8.666666666666666,NA,1,NA,7,French (Quebecois),2043005,langu,tongue,2,"langue, langues",232,6.5,232,7.901018922852984,0,136,5
