word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,language.y,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
druga,66,66,NA,3,7,4,5,Croatian,224755,drug,Croatian,another,10,"drugu, druga, druge, drugi, drugoga, drugo, drugoj, drugim, drugom, drugog",464,5.6,464,9.83382243130227,13,97,35
ja,1334,1334,NA,32,94,316,2,Croatian,224755,ja,Croatian,i,4,"ja, jau, jao, jaoj",1426,3,1426,3.25,48,102,373
ja,1334,1334,NA,32,94,316,2,Croatian,224755,ja,Croatian,ouch,5,"ja, jau, jao, jaoj, jaooj",1427,3.4,1427,5.833333333333333,48,102,373
mrak,8,8,9.125,NA,3,NA,4,Croatian,224755,mrak,Croatian,dark,2,"mrak, mraku",9,4.5,9,6.5625,0,4,0
moje,46,46,NA,1,10,5,4,Croatian,224755,moj,Croatian,my,6,"moja, moje, moj, moju, mojoj, moji",267,4,267,7.333333333333333,6,46,23
jaje,44,44,5.659090909090909,6,20,5,4,Croatian,224755,jaj,Croatian,egg,4,"jaje, jaja, jajima, jaj",72,4.25,72,6.1647727272727275,7,30,5
banana,7,7,3.4285714285714284,1,4,NA,6,Croatian,224755,banan,Croatian,banana,3,"banana, bananu, banane",21,6,21,3.7142857142857144,6,9,1
bananu,2,2,4,NA,1,NA,6,Croatian,224755,banan,Croatian,banana,3,"banana, bananu, banane",21,6,21,3.7142857142857144,6,9,1
jaja,25,25,7,NA,10,NA,4,Croatian,224755,jaj,Croatian,egg,4,"jaje, jaja, jajima, jaj",72,4.25,72,6.1647727272727275,7,30,5
kolač,6,6,4.5,NA,4,NA,5,Croatian,224755,kolač,Croatian,cake,5,"kolač, kolači, kolače, kolača, kolačima",39,6.2,39,5.5394736842105265,4,17,5
tebe,163,163,NA,3,60,5,4,Croatian,224755,teb,Croatian,you,3,"ti, tebe, tebi",5385,3.3333333333333335,5385,NA,65,349,470
tatu,31,31,NA,2,11,4,4,Croatian,224755,tat,Croatian,daddy,5,"tata, tati, tatu, tatom, tate",487,4.2,487,8.5,20,124,80
smeća,5,5,NA,1,1,2,5,Croatian,224755,smeć,Croatian,trash,2,"smeća, smeće",91,5,91,5.534883720930233,2,53,4
smeće,86,86,5.534883720930233,1,52,2,5,Croatian,224755,smeć,Croatian,trash,2,"smeća, smeće",91,5,91,5.534883720930233,2,53,4
baciti,36,36,NA,2,20,NA,6,Croatian,224755,baci,Croatian,throw,10,"bacio, baciti, bacila, baci, bacim, bacimo, bacili, baca, bacit, bac",316,5,316,6.398111380660538,11,125,46
kupiti,82,82,6.853658536585366,NA,33,2,6,Croatian,224755,kupi,Croatian,buy,12,"kupiti, kupi, kupa, kupila, kupio, kupit, kup, kupili, kupu, kupite, kupimo, kupim",373,5,373,6.681012872628727,6,146,22
mlijeka,40,40,NA,10,15,4,7,Croatian,224755,mlijek,Croatian,milk,2,"mlijeka, mlijeko",75,7,75,NA,13,32,9
kupi,19,19,NA,2,2,NA,4,Croatian,224755,kup,Croatian,buy,12,"kupiti, kupi, kupa, kupila, kupio, kupit, kup, kupili, kupu, kupite, kupimo, kupim",373,5,373,6.681012872628727,6,146,22
piti,51,51,7.7254901960784315,NA,18,NA,4,Croatian,224755,pit,Croatian,drink (action),3,"piti, pita, pit",82,3.6666666666666665,82,6.59510641863583,1,22,6
striček,126,126,NA,10,38,9,7,Croatian,224755,striček,Croatian,man,5,"striček, stričeki, stričeka, stričeku, stričeke",183,7.8,183,5.695837710084033,10,52,11
