item_id,category,definition,gloss,uni_lemma,language
item_190,clothing,cipő,shoe,shoe,Hungarian
item_191,clothing,cipőfűző,shoelace,,Hungarian
item_192,clothing,csizma,boots,boots,Hungarian
item_193,clothing,dzseki,jacket,jacket,Hungarian
item_194,clothing,előke,bib,bib,Hungarian
item_195,clothing,farmer,jeans,jeans,Hungarian
item_196,clothing,gatya,pants,pants,Hungarian
item_197,clothing,gomb,button,button,Hungarian
item_198,clothing,harisnya,tights,tights,Hungarian
item_199,clothing,ing,shirt,shirt,Hungarian
item_200,clothing,kabát,coat,coat,Hungarian
item_201,clothing,kalap,hat,hat,Hungarian
item_202,clothing,kesztyű,gloves,gloves,Hungarian
item_203,clothing,nadrág,trousers,pants,Hungarian
item_204,clothing,nyaklánc,necklace,necklace,Hungarian
item_205,clothing,öv,belt,,Hungarian
item_206,clothing,papucs,slipper,slipper,Hungarian
item_207,clothing,pelenka,diaper,diaper,Hungarian
item_208,clothing,pizsama,pajamas,pajamas,Hungarian
item_209,clothing,póló,t-shirt,shirt,Hungarian
item_210,clothing,pulóver,sweater,sweater,Hungarian
item_211,clothing,rövidnadrag,shorts,shorts,Hungarian
item_212,clothing,ruha,dress,dress,Hungarian
item_213,clothing,sál,scarf,scarf,Hungarian
item_214,clothing,sapka,cap,hat,Hungarian
item_215,clothing,szandál,sandal,,Hungarian
item_216,clothing,szoknya,skirt,skirt,Hungarian
item_217,clothing,trikó,tricot,,Hungarian
item_218,clothing,tornacipő,sneaker,shoe,Hungarian
item_219,clothing,zsepi,handkerchief,tissue,Hungarian
item_220,clothing,zipzár,zipper,zipper,Hungarian
item_221,clothing,zokni,sock,sock,Hungarian
item_222,body_parts,ajak,lips,,Hungarian
item_223,body_parts,áll,chin,chin,Hungarian
item_224,body_parts,arc,face,face,Hungarian
item_225,body_parts,boka,ankle,,Hungarian
item_226,body_parts,fej,head,head,Hungarian
item_227,body_parts,fenék,buttocks/bottom,butt,Hungarian
item_228,body_parts,fog,tooth,tooth,Hungarian
item_229,body_parts,fül,ear,ear,Hungarian
item_230,body_parts,haj,hair,hair,Hungarian
item_231,body_parts,has,tummy,tummy,Hungarian
item_232,body_parts,hát,back,back,Hungarian
item_233,body_parts,kaki,poop (feces),poop,Hungarian
item_234,body_parts,kar,arm,arm,Hungarian
item_235,body_parts,kéz,hand,hand,Hungarian
item_236,body_parts,köldök,belly button,belly button,Hungarian
item_237,body_parts,köröm,nails,nails,Hungarian
item_238,body_parts,kuki,penis,penis,Hungarian
item_239,body_parts,láb,leg,leg,Hungarian
item_240,body_parts,lábfej,feet,feet,Hungarian
item_241,body_parts,lábujj,toe,toe,Hungarian
item_242,body_parts,mell,chest,,Hungarian
item_243,body_parts,nuni,vagina,vagina,Hungarian
item_244,body_parts,nyak,neck,neck,Hungarian
item_245,body_parts,nyelv,tongue,tongue,Hungarian
item_246,body_parts,orr,nose,nose,Hungarian
item_247,body_parts,pisi,pee,pee,Hungarian
item_248,body_parts,seb,wound,,Hungarian
item_249,body_parts,száj,mouth,mouth,Hungarian
item_250,body_parts,szem,eye,eye,Hungarian
item_251,body_parts,talp,sole,,Hungarian
item_252,body_parts,térd,knee,knee,Hungarian
item_253,body_parts,ujj,finger,finger,Hungarian
item_254,body_parts,váll,shoulder,,Hungarian
item_255,household,apró,penny,penny,Hungarian
item_256,household,bögre,mug,cup,Hungarian
item_257,household,cd,CD,CD,Hungarian
item_258,household,cellux,tape,,Hungarian
item_259,household,csésze,cup,cup,Hungarian
item_260,household,edény,dish,dish,Hungarian
item_261,household,doboz,box,box,Hungarian
item_262,household,felmosó,mop,,Hungarian
item_263,household,fotó,picture,picture,Hungarian
item_264,household,fényképezőgép,camera,camera,Hungarian
item_265,household,fésű,comb,,Hungarian
item_266,household,fogkefe,toothbrush,toothbrush,Hungarian
item_267,household,fogó,pliers,,Hungarian
item_268,household,gyógyszer,medicine,medicine,Hungarian
item_269,household,járóka,playpen,,Hungarian
item_270,household,kanál,spoon,spoon,Hungarian
item_271,household,kalapács,hammer,hammer,Hungarian
item_272,household,kefe,brush,brush,Hungarian
item_273,household,kés,knife,knife,Hungarian
item_274,household,konzerv,can,can (object),Hungarian
item_275,household,kosár,basket,,Hungarian
item_276,household,kulcs,keys,keys,Hungarian
item_277,household,lámpa,lamp,lamp,Hungarian
item_278,household,magnó,stereo,,Hungarian
item_279,household,mikró,microwave,,Hungarian
item_280,household,olló,scissors,scissors,Hungarian
item_281,household,óra,clock,clock,Hungarian
item_282,household,papír,paper,paper,Hungarian
item_283,household,pzs,tissue/kleenex,,Hungarian
item_284,household,párna,pillow,pillow,Hungarian
item_285,household,pénz,money,money,Hungarian
item_286,household,tárca,purse,purse,Hungarian
item_287,household,pohár,glass,glass,Hungarian
item_288,household,porszívó,vacuum,vacuum,Hungarian
item_289,household,rádió,radio,radio,Hungarian
item_290,household,seprű,broom,broom,Hungarian
item_291,household,szalvéta,napkin,,Hungarian
item_292,household,szappan,soap,soap,Hungarian
item_293,household,szemét,garbage/trash,trash,Hungarian
item_294,household,szemüveg,glasses,glasses,Hungarian
item_295,household,szög,nail,nail,Hungarian
item_296,household,takaró,blanket,blanket,Hungarian
item_297,household,tál,bowl,bowl,Hungarian
item_298,household,tálca,tray,,Hungarian
item_299,household,tányér,plate,plate,Hungarian
item_300,household,telefon,telephone,telephone,Hungarian
item_301,household,tv,TV,tv,Hungarian
item_302,household,törülköző,towel,towel,Hungarian
item_303,household,üveg,bottle,bottle,Hungarian
item_304,household,videó,video,,Hungarian
item_305,household,villa,fork,fork,Hungarian
item_306,household,villanykörte,light bulb,,Hungarian
item_307,household,vödör,bucket,bucket,Hungarian
item_308,furniture_rooms,ablak,window,window,Hungarian
item_309,furniture_rooms,ágy,bed,bed,Hungarian
item_310,furniture_rooms,ajtó,door,door,Hungarian
item_311,furniture_rooms,asztal,table,table,Hungarian
item_312,furniture_rooms,bölcső,crib,crib,Hungarian
item_313,furniture_rooms,erkély,balcony,,Hungarian
item_314,furniture_rooms,etetőszék,high chair,high chair,Hungarian
item_315,furniture_rooms,fiók,drawer,drawer,Hungarian
item_316,furniture_rooms,fotel,armchair,armchair,Hungarian
item_317,furniture_rooms,fürdőkád,bathtub,bathtub,Hungarian
item_318,furniture_rooms,fürdőszoba,bathroom,bathroom,Hungarian
item_319,furniture_rooms,garázs,garage,garage,Hungarian
item_320,furniture_rooms,gyerekágy,cot,,Hungarian
item_321,furniture_rooms,hálószoba,bedroom,bedroom,Hungarian
item_322,furniture_rooms,hintaszék,rocking chair,rocking chair,Hungarian
item_323,furniture_rooms,hűtő,refrigerator,refrigerator,Hungarian
item_324,furniture_rooms,kanapé,sofa,,Hungarian
item_325,furniture_rooms,konyha,kitchen,kitchen,Hungarian
item_326,furniture_rooms,lépcső,stairs,stairs,Hungarian
item_327,furniture_rooms,mosdó,washbasin,,Hungarian
item_328,furniture_rooms,mosogató,sink,sink,Hungarian
item_329,furniture_rooms,mosógép,washing machine,washing machine,Hungarian
item_330,furniture_rooms,nappali,living room,living room,Hungarian
item_331,furniture_rooms,pad,bench,,Hungarian
item_332,furniture_rooms,padlás,attic,,Hungarian
item_333,furniture_rooms,pince,basement,,Hungarian
item_334,furniture_rooms,polc,shelf,,Hungarian
item_335,furniture_rooms,porszívó,vacuum cleaner,,Hungarian
item_336,furniture_rooms,sütő,oven,oven,Hungarian
item_337,furniture_rooms,hajszárító,dryer,,Hungarian
item_338,furniture_rooms,szék,chair,chair,Hungarian
item_339,furniture_rooms,szekrény,closet,closet,Hungarian
item_340,furniture_rooms,szoba,room,room,Hungarian
item_341,furniture_rooms,szőnyeg,mat,,Hungarian
item_342,furniture_rooms,tűzhely,stove,stove,Hungarian
item_343,furniture_rooms,wc,toilet,,Hungarian
item_344,furniture_rooms,zuhany,shower,shower,Hungarian
item_345,outside,állatkert,zoo,zoo,Hungarian
item_346,outside,áruház,supermarket,,Hungarian
item_347,outside,bent,inside,inside,Hungarian
item_348,outside,benzinkút,gas station,,Hungarian
item_349,outside,bolt,store,store,Hungarian
item_350,outside,bot,stick,stick,Hungarian
item_351,outside,cirkusz,circus,,Hungarian
item_352,outside,csillag,star,star,Hungarian
item_353,outside,csúszda,slide,,Hungarian
item_354,outside,dolgozó,workplace,,Hungarian
item_355,outside,ég,sky,sky,Hungarian
item_356,outside,erdő,woods,,Hungarian
item_357,outside,eső,rain,rain,Hungarian
item_358,outside,fa,tree,tree,Hungarian
item_359,outside,falu,village,village,Hungarian
item_360,outside,felhő,cloud,cloud,Hungarian
item_361,outside,fű,grass,grass,Hungarian
item_362,outside,fűnyírógép,lawn mower,lawn mower,Hungarian
item_363,outside,ház,house,house,Hungarian
item_364,outside,hinta,swing,swing (object),Hungarian
item_365,outside,hó,snow,snow,Hungarian
item_366,outside,hóember,snowman,snowman,Hungarian
item_367,outside,hold,moon,moon,Hungarian
item_368,outside,iskola,school,school,Hungarian
item_369,outside,járda,sidewalk,,Hungarian
item_370,outside,játszótér,playground,playground,Hungarian
item_371,outside,kemping,camping,,Hungarian
item_372,outside,kert,garden,garden,Hungarian
item_373,outside,kint,outside,outside,Hungarian
item_374,outside,kirándulás,excursion,,Hungarian
item_375,outside,központ,downtown,,Hungarian
item_376,outside,kő,stone,stone,Hungarian
item_377,outside,létra,ladder,ladder,Hungarian
item_378,outside,locsoló,hose/sprinkler,,Hungarian
item_379,outside,mászóka,playground climber,,Hungarian
item_380,outside,mozi,movie,movie,Hungarian
item_381,outside,nap,sun,sun,Hungarian
item_382,outside,otthon,home,home,Hungarian
item_383,outside,park,park,park,Hungarian
item_384,outside,piac,market,market,Hungarian
item_385,outside,pláza,plaza,,Hungarian
item_386,outside,strand,beach,beach,Hungarian
item_387,outside,szél,wind,wind,Hungarian
item_388,outside,szikla,rock,rock,Hungarian
item_389,outside,templom,church,church,Hungarian
item_390,outside,tető,roof,roof,Hungarian
item_391,outside,udvar,yard/backyard,,Hungarian
item_392,outside,uszoda,swimming pool,pool,Hungarian
item_393,outside,utca,street,street,Hungarian
item_394,outside,vidék,country,country,Hungarian
item_395,outside,virág,flower,flower,Hungarian
item_396,outside,víz,water,water (not beverage),Hungarian
item_397,outside,zászló,flag,,Hungarian
item_398,people,*anya,mommy,mommy,Hungarian
item_399,people,*apu,daddy,daddy,Hungarian
item_400,people,baba,baby,baby,Hungarian
item_401,people,bácsi,uncle (also used as 'mr' with first names e.g. Péter bácsi),uncle,Hungarian
item_402,people,barát,friend,friend,Hungarian
item_403,people,bohóc,clown,clown,Hungarian
item_404,people,gyerek,child,child,Hungarian
item_405,people,ember,person,person,Hungarian
item_406,people,férfi,man,man,Hungarian
item_407,people,fiú,boy,boy,Hungarian
item_408,people,a gyerek neve,child's own name,child's own name,Hungarian
item_409,people,a háziállat neve,pet's name,pet's name,Hungarian
item_410,people,húg/nővér,sister,sister,Hungarian
item_411,people,lány,girl,girl,Hungarian
item_412,people,*nagymama,grandma,grandma,Hungarian
